,0
0,https://www.youtube.com/channel/UCw0leRmeaX7R_9BDd3TvCzg
1,https://www.youtube.com/watch?v=7LQcHJYDbtU
2,https://www.youtube.com/watch?v=hUFUUo8AjZU
3,https://www.youtube.com/watch?v=B_VzoJWBojg
4,https://www.youtube.com/watch?v=svw7DQIyJ58
5,https://www.youtube.com/watch?v=kx6ztc18Rtc
6,https://www.youtube.com/watch?v=OagOCztwJyo
7,https://www.youtube.com/shorts/Wc--1Qc50J8
8,https://www.youtube.com/shorts/50cPU5ESEHg
9,https://www.youtube.com/shorts/xuvpXKlZFWM
10,https://www.youtube.com/shorts/rR7GnqNJyZ4
11,https://www.youtube.com/shorts/LXNb6VYY-oM
12,https://www.youtube.com/shorts/ckQ65J82Bqs
13,https://www.youtube.com/watch?v=Ufmem0LjubI
14,https://www.youtube.com/watch?v=IvViGS_WUYY
15,https://www.youtube.com/watch?v=rdPZwdTI2FU
16,https://www.youtube.com/watch?v=TwdNM-aCgbE
17,https://www.youtube.com/watch?v=b53U_FOScl0
18,https://www.youtube.com/watch?v=swP4igqsYAM
19,https://www.youtube.com/watch?v=UFGe25gydxo
20,https://www.youtube.com/watch?v=NP0PJgcIDkY
21,https://www.youtube.com/watch?v=QnCSgEsIHMA
22,https://www.youtube.com/watch?v=iH9Qx9R315A
23,https://www.youtube.com/watch?v=wxRnz_D-S1o
24,https://www.youtube.com/watch?v=EAjQhXbXfZY
25,https://www.youtube.com/watch?v=ZFdrlOlFE6Q
26,https://www.youtube.com/watch?v=Salpm1zs2AM
27,https://www.youtube.com/watch?v=uB3TBxHC1yQ
28,https://www.youtube.com/watch?v=9LKFVa00MtQ
29,https://www.youtube.com/watch?v=bMg8e9tQUl4
30,https://www.youtube.com/watch?v=8fPd8NqlNBo
31,https://www.youtube.com/watch?v=KLOQCtVyPWA
32,https://www.youtube.com/watch?v=oq1b0d_wJrQ
33,https://www.youtube.com/watch?v=degfAPIx00c
34,https://www.youtube.com/watch?v=DmNTLgTekFU
35,https://www.youtube.com/watch?v=b0oGIhedvJA
36,https://www.youtube.com/watch?v=Lw7dcJREoEU
37,https://www.youtube.com/watch?v=ZsQEWyipvNs
38,https://www.youtube.com/watch?v=PMob6AJpzw8
39,https://www.youtube.com/watch?v=m8WK62onirQ
40,https://www.youtube.com/watch?v=BBLRh1ZmM6E
41,https://www.youtube.com/watch?v=206tnvJQsiU
42,https://www.youtube.com/watch?v=ZgYLu_g-8zA
43,https://www.youtube.com/watch?v=q3-cIu6tvVM
44,https://www.youtube.com/watch?v=dKJTJbTrVOE
45,https://www.youtube.com/watch?v=jE3--bsxAs0
46,https://www.youtube.com/watch?v=xK7lRm9054Y
47,https://www.youtube.com/watch?v=-XyExKcea-o
48,https://www.youtube.com/watch?v=6a3649RwbyQ
49,https://www.youtube.com/user/ninjadoexcel
50,https://www.youtube.com/watch?v=rNbyK8Zx-EE
51,https://www.youtube.com/watch?v=CjF1ZRx_rjE
52,https://www.youtube.com/watch?v=Uxoq4mGLlvU
53,https://www.youtube.com/watch?v=4jWSyMilFvw
54,https://www.youtube.com/watch?v=EYPjgJHTYYE
55,https://www.youtube.com/watch?v=m7ifH_cXiUU
56,https://www.youtube.com/watch?v=DUrUBdjZOjU
57,https://www.youtube.com/watch?v=QcGQdZBW4q0
58,https://www.youtube.com/watch?v=HweSAXJCHsI
59,https://www.youtube.com/watch?v=KH0Gzy8F6Yo
60,https://www.youtube.com/watch?v=rLZ4syATR-Y
61,https://www.youtube.com/watch?v=_TwPC4zOi-A
62,https://www.youtube.com/watch?v=y7Pjoz0yQxc
63,https://www.youtube.com/watch?v=W2Zm3NYU8XM
64,https://www.youtube.com/watch?v=LdCHGKamolI
65,https://www.youtube.com/watch?v=XBxzSQ13IWE
66,https://www.youtube.com/watch?v=9aXsNf7Ud6E
67,https://www.youtube.com/watch?v=A4tPlf8SVT8
68,https://www.youtube.com/watch?v=6HrdlxOQnmU&list=PL_Q1UZN6PAWo_EFFBfW6cl4lFUo5uJVzE
69,https://www.youtube.com/watch?v=t-xdWIF9j7c&list=PL_Q1UZN6PAWrjGt566F41kSahgPJPtVww
70,https://www.youtube.com/watch?v=qA3mk8T5lgk&list=PL_Q1UZN6PAWo4EMHgESB8PntU0XoEo0Gs
71,https://www.youtube.com/watch?v=I2taMQ3j6qo&list=PL_Q1UZN6PAWqrBdTnR7blwmzGXmkPzMVY
72,https://www.youtube.com/watch?v=iNudtEpyfAE&list=PL_Q1UZN6PAWpxV0Z658V44RBPIWQlbQZS
73,https://www.youtube.com/watch?v=0gsEBRDOkK8
74,https://www.youtube.com/watch?v=KN0dKqVWXJg
75,https://www.youtube.com/watch?v=zqcVBjN3XFE
76,https://www.youtube.com/watch?v=RLNd-OqbWg8
77,https://www.youtube.com/watch?v=h9zCKi8xjOk
78,https://www.youtube.com/watch?v=w4b1nsBFow4
79,https://www.youtube.com/watch?v=iNudtEpyfAE
80,https://www.youtube.com/watch?v=SGS9H_Lem4o
81,https://www.youtube.com/watch?v=jHpiyBPekbE
82,https://www.youtube.com/watch?v=lK1FiZUJ-20
83,https://www.youtube.com/watch?v=1Kz4Eb--P40
84,https://www.youtube.com/watch?v=lfyMNjS8EzU
85,https://www.youtube.com/watch?v=I2taMQ3j6qo
86,https://www.youtube.com/watch?v=t-xdWIF9j7c
87,https://www.youtube.com/watch?v=FddIVxGAO60
88,https://www.youtube.com/watch?v=v0T-aOQ4as4
89,https://www.youtube.com/watch?v=6PHPLh0WPKY
90,https://www.youtube.com/watch?v=BgT8xTDPMW0
91,https://www.youtube.com/watch?v=X-F-m9gliSo&list=PL_Q1UZN6PAWocWrvOd3jgn3z8nBkDlmKV
92,https://www.youtube.com/watch?v=jTHQlbAF8b4&list=PL_Q1UZN6PAWoCJZ2W-QSeAJR05rj_Jho3
93,https://www.youtube.com/watch?v=ou7KxRlRvSY&list=PL_Q1UZN6PAWp2cOm9qjnN4NnooCP6vlv2
94,https://www.youtube.com/watch?v=as3mRXVajU8&list=PL_Q1UZN6PAWqVfN3IuiSMX0F0xwVG7Q2W
95,https://www.youtube.com/watch?v=rNbyK8Zx-EE&list=PL_Q1UZN6PAWpIyTeF4vhWhHdx4Yze0n8N
96,https://www.youtube.com/watch?v=NrYTFPf28P0&list=PL_Q1UZN6PAWpQkPZtfQTiqdZESvjfvNCz
97,https://www.youtube.com/watch?v=0S5mEAvcpec
98,https://www.youtube.com/watch?v=VEftSrursFk
99,https://www.youtube.com/watch?v=08ebU5SAhIs
100,https://www.youtube.com/watch?v=H4hRsrrSLTk
101,https://www.youtube.com/watch?v=F4e3QO70aCs
102,https://www.youtube.com/watch?v=CC3eqkAMbWo
103,https://www.youtube.com/shorts/lNOlbS8i2ZQ
104,https://www.youtube.com/shorts/I882M9--bGY
105,https://www.youtube.com/shorts/U-PS7KI1ANk
106,https://www.youtube.com/shorts/45reNkeXN-w
